station,latitude,longitude,model,lead_days,valid_date,forecast_min_c,forecast_max_c,forecast_source,collected_at
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-12,19.1,27.2,open_meteo_previous_runs,2026-09-11T14:23:48.376542+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-13,17.2,27.3,open_meteo_previous_runs,2026-09-11T14:23:48.376560+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-14,13.1,22.5,open_meteo_previous_runs,2026-09-11T14:23:48.376564+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-15,9.0,19.9,open_meteo_previous_runs,2026-09-11T14:23:48.376567+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-16,12.3,20.3,open_meteo_previous_runs,2026-09-11T14:23:48.376570+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-17,13.3,22.2,open_meteo_previous_runs,2026-09-11T14:23:48.376573+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-18,14.3,21.1,open_meteo_previous_runs,2026-09-11T14:23:48.376576+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-19,13.5,20.7,open_meteo_previous_runs,2026-09-11T14:23:48.376579+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-20,13.1,21.1,open_meteo_previous_runs,2026-09-11T14:23:48.376582+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-21,11.4,23.3,open_meteo_previous_runs,2026-09-11T14:23:48.376585+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-22,13.4,21.9,open_meteo_previous_runs,2026-09-11T14:23:48.376588+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-23,12.9,22.8,open_meteo_previous_runs,2026-09-11T14:23:48.376605+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-24,13.3,24.5,open_meteo_previous_runs,2026-09-11T14:23:48.376609+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-25,15.6,20.1,open_meteo_previous_runs,2026-09-11T14:23:48.376612+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-26,15.3,24.6,open_meteo_previous_runs,2026-09-11T14:23:48.376614+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-27,14.0,26.4,open_meteo_previous_runs,2026-09-11T14:23:48.376617+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-28,14.9,27.6,open_meteo_previous_runs,2026-09-11T14:23:48.376622+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-29,17.3,28.9,open_meteo_previous_runs,2026-09-11T14:23:48.376625+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-06-30,20.8,32.2,open_meteo_previous_runs,2026-09-11T14:23:48.376628+00:00
CYYZ,43.679,-79.629,ecmwf_ifs025,1,2026-07-01,25.9,34.9,open_meteo_previous_runs,2026-09-11T14:23:48.376632+00:00
