POLYMARKET WEATHER CALIBRATION BOOTSTRAP V1.1
NO TRADING

UTC: 2026-09-11T14:26:41.952535+00:00

Stations: 45
Models: 1
History days: 90
Forecast rows: 28350
Ground truth rows: 4050
Matched rows: 28350
Calibration groups: 315

Ground truth source: Open-Meteo ERA5 reanalysis.
This is historical verification data, not literal METAR observations.

CALIBRATION GROUPS

CYYZ | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-0.207C | min_rmse=0.820C | max_bias=0.436C | max_rmse=1.271C
CYYZ | ecmwf_ifs025 | lead=2 | n=90 | min_bias=-0.336C | min_rmse=1.006C | max_bias=0.330C | max_rmse=1.676C
CYYZ | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-0.361C | min_rmse=1.183C | max_bias=0.549C | max_rmse=1.699C
CYYZ | ecmwf_ifs025 | lead=4 | n=90 | min_bias=-0.270C | min_rmse=1.560C | max_bias=0.226C | max_rmse=1.706C
CYYZ | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-0.287C | min_rmse=2.034C | max_bias=0.289C | max_rmse=1.878C
CYYZ | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-0.794C | min_rmse=2.129C | max_bias=0.587C | max_rmse=2.678C
CYYZ | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-0.891C | min_rmse=2.464C | max_bias=0.536C | max_rmse=2.801C
EDDM | ecmwf_ifs025 | lead=1 | n=90 | min_bias=-0.660C | min_rmse=0.911C | max_bias=0.002C | max_rmse=0.782C
EDDM | ecmwf_ifs025 | lead=2 | n=90 | min_bias=-0.626C | min_rmse=1.028C | max_bias=0.078C | max_rmse=1.033C
EDDM | ecmwf_ifs025 | lead=3 | n=90 | min_bias=-0.599C | min_rmse=1.081C | max_bias=-0.124C | max_rmse=1.259C
EDDM | ecmwf_ifs025 | lead=4 | n=90 | min_bias=-0.848C | min_rmse=1.445C | max_bias=-0.340C | max_rmse=1.613C
EDDM | ecmwf_ifs025 | lead=5 | n=90 | min_bias=-1.061C | min_rmse=1.912C | max_bias=-0.731C | max_rmse=2.192C
EDDM | ecmwf_ifs025 | lead=6 | n=90 | min_bias=-1.954C | min_rmse=2.780C | max_bias=-0.613C | max_rmse=3.111C
EDDM | ecmwf_ifs025 | lead=7 | n=90 | min_bias=-1.961C | min_rmse=3.130C | max_bias=-0.796C | max_rmse=2.997C
