station,model,lead_days,samples,usable,first_date,last_date,min_bias_c,min_mae_c,min_rmse_c,min_sigma_c,max_bias_c,max_mae_c,max_rmse_c,max_sigma_c
CYYZ,ecmwf_ifs025,1,7,NO,2026-06-18,2026-09-02,0.67143,0.81429,1.03579,0.85189,-1.6,1.6,2.1166,1.49666
CYYZ,ecmwf_ifs025,2,7,NO,2026-06-18,2026-09-02,0.15714,0.7,0.86437,0.91807,-2.07143,2.47143,2.81957,2.06617
CYYZ,ecmwf_ifs025,3,7,NO,2026-06-18,2026-09-02,-0.25714,1.28571,1.55012,1.65112,-2.27143,2.27143,2.496,1.11761
CYYZ,ecmwf_ifs025,4,7,NO,2026-06-18,2026-09-02,0.17143,0.74286,0.94718,1.00617,-2.58571,2.92857,3.41321,2.40654
CYYZ,ecmwf_ifs025,5,7,NO,2026-06-18,2026-09-02,-0.7,1.12857,1.38409,1.2897,-3.17143,3.17143,3.75956,2.18076
CYYZ,ecmwf_ifs025,6,7,NO,2026-06-18,2026-09-02,-0.71429,0.94286,1.0226,0.79042,-3.67143,3.95714,4.68173,3.13779
CYYZ,ecmwf_ifs025,7,7,NO,2026-06-18,2026-09-02,-0.41429,0.81429,1.03303,1.02214,-2.87143,3.04286,3.65181,2.43702
EDDM,ecmwf_ifs025,1,89,YES,2026-06-13,2026-09-09,-2.50562,2.70337,3.24245,2.06966,1.80787,1.99663,2.25939,1.36284
EDDM,ecmwf_ifs025,2,89,YES,2026-06-13,2026-09-09,-2.48315,2.7236,3.30988,2.20084,1.87191,2.08764,2.41498,1.53445
EDDM,ecmwf_ifs025,3,89,YES,2026-06-13,2026-09-09,-2.44944,2.67865,3.25435,2.15481,1.71798,2.04607,2.42726,1.72439
EDDM,ecmwf_ifs025,4,89,YES,2026-06-13,2026-09-09,-2.71798,2.9427,3.49541,2.21028,1.50337,2.17978,2.55752,2.08073
EDDM,ecmwf_ifs025,5,89,YES,2026-06-13,2026-09-09,-2.90899,3.19438,3.88615,2.5914,1.09663,2.23146,2.73122,2.51556
EDDM,ecmwf_ifs025,6,89,YES,2026-06-13,2026-09-09,-3.81348,4.13258,4.87829,3.05946,1.22135,2.76067,3.48504,3.28251
EDDM,ecmwf_ifs025,7,89,YES,2026-06-13,2026-09-09,-3.83258,4.27079,5.01867,3.25848,1.06854,2.69101,3.33761,3.17986
EFHK,ecmwf_ifs025,1,89,YES,2026-06-13,2026-09-09,-1.09663,1.3618,1.78124,1.4116,0.94157,1.22921,1.49162,1.16344
EFHK,ecmwf_ifs025,2,89,YES,2026-06-13,2026-09-09,-1.1618,1.45618,1.88495,1.49275,0.80449,1.2764,1.59592,1.38613
EFHK,ecmwf_ifs025,3,89,YES,2026-06-13,2026-09-09,-1.20449,1.6809,2.16898,1.81402,0.73933,1.40449,1.75378,1.59933
EFHK,ecmwf_ifs025,4,89,YES,2026-06-13,2026-09-09,-1.07528,1.85955,2.33587,2.08541,0.4809,1.43371,1.90334,1.85202
EFHK,ecmwf_ifs025,5,89,YES,2026-06-13,2026-09-09,-1.04157,1.73596,2.22874,1.98155,0.4191,1.52247,1.98231,1.94848
EFHK,ecmwf_ifs025,6,89,YES,2026-06-13,2026-09-09,-1.36404,2.11685,2.64278,2.27637,0.82135,1.70449,2.11716,1.9624
EFHK,ecmwf_ifs025,7,89,YES,2026-06-13,2026-09-09,-1.27528,2.20112,2.89127,2.60952,0.57079,1.85618,2.50474,2.45265
EGLC,ecmwf_ifs025,1,89,YES,2026-06-13,2026-09-09,0.22921,0.62472,0.80741,0.77858,-0.05281,0.96517,1.22772,1.23354
EGLC,ecmwf_ifs025,2,89,YES,2026-06-13,2026-09-09,0.2236,0.74045,0.96343,0.94244,-0.09438,1.26292,1.61975,1.62616
EGLC,ecmwf_ifs025,3,89,YES,2026-06-13,2026-09-09,0.1427,0.79213,1.06902,1.06546,-0.28315,1.3618,1.74903,1.73574
EGLC,ecmwf_ifs025,4,89,YES,2026-06-13,2026-09-09,-0.10787,1.04944,1.45849,1.46274,-0.4573,1.3764,1.94725,1.90352
EGLC,ecmwf_ifs025,5,89,YES,2026-06-13,2026-09-09,-0.13596,1.18539,1.6303,1.63382,-0.57416,2.01236,2.62334,2.57424
EGLC,ecmwf_ifs025,6,89,YES,2026-06-13,2026-09-09,-0.01236,1.47978,1.97692,1.98808,0.30674,2.20337,2.97671,2.97764
EGLC,ecmwf_ifs025,7,89,YES,2026-06-13,2026-09-09,0.09101,1.79888,2.29325,2.30442,0.58539,2.6618,3.41489,3.3834
EHAM,ecmwf_ifs025,1,89,YES,2026-06-13,2026-09-09,-0.51236,0.86517,1.13375,1.01711,0.63933,1.08876,1.32203,1.16371
EHAM,ecmwf_ifs025,2,89,YES,2026-06-13,2026-09-09,-0.55618,1.00337,1.27654,1.15552,0.55393,1.1382,1.47812,1.37816
EHAM,ecmwf_ifs025,3,89,YES,2026-06-13,2026-09-09,-0.59663,1.1,1.34453,1.21173,0.39438,1.26404,1.62926,1.58977
EHAM,ecmwf_ifs025,4,89,YES,2026-06-13,2026-09-09,-0.73483,1.13708,1.43707,1.24198,0.20225,1.41573,1.90293,1.90287
EHAM,ecmwf_ifs025,5,89,YES,2026-06-13,2026-09-09,-0.69438,1.35955,1.83475,1.70789,-0.21348,1.9191,2.71558,2.72252
EHAM,ecmwf_ifs025,6,89,YES,2026-06-13,2026-09-09,-0.82921,1.64494,2.12391,1.96643,0.24607,2.17865,2.88314,2.88889
EHAM,ecmwf_ifs025,7,89,YES,2026-06-13,2026-09-09,-0.75056,1.90562,2.4827,2.37994,-0.00674,2.71685,3.67909,3.69993
EPWA,ecmwf_ifs025,1,89,YES,2026-06-13,2026-09-09,-0.76742,1.27753,1.63023,1.44645,0.29213,0.9618,1.23825,1.21011
EPWA,ecmwf_ifs025,2,89,YES,2026-06-13,2026-09-09,-0.77978,1.35056,1.69964,1.51876,0.22809,0.92697,1.13815,1.12138
EPWA,ecmwf_ifs025,3,89,YES,2026-06-13,2026-09-09,-0.7809,1.33146,1.67402,1.48912,0.35281,1.05393,1.37938,1.34106
