POLYMARKET WEATHER EDGE ENGINE V1.7
UTC: 2026-09-25T01:34:48.486901+00:00
Calibration groups accepted: 131
Calibration groups rejected by sanity: 2
Signals evaluated: 790
PAPER_BUY candidates: 66

Amsterdam|4872835|p=0.390374|ask=0.008|edge=0.382374|n=89
Shanghai|4900652|p=0.372973|ask=0.04|edge=0.332973|n=88
Milan|4873170|p=0.308108|ask=0.04|edge=0.268108|n=88
Milan|4900680|p=0.264865|ask=0.02|edge=0.244865|n=88
Munich|4900609|p=0.311475|ask=0.07|edge=0.241475|n=89
Lucknow|4900599|p=0.272727|ask=0.04|edge=0.232727|n=89
Helsinki|4900828|p=0.26776|ask=0.04|edge=0.22776|n=89
Seoul (Incheon)|4873055|p=0.243243|ask=0.024|edge=0.219243|n=88
Seoul (Incheon)|4873056|p=0.221622|ask=0.004|edge=0.217622|n=88
London|4873029|p=0.401198|ask=0.18|edge=0.221198|n=89
Milan|4900681|p=0.297297|ask=0.08|edge=0.217297|n=88
Helsinki|4873317|p=0.347594|ask=0.13|edge=0.217594|n=89
Tokyo|4872670|p=0.398907|ask=0.2|edge=0.198907|n=88
London|4900015|p=0.44385|ask=0.25|edge=0.19385|n=89
Guangzhou|4900870|p=0.256831|ask=0.07|edge=0.186831|n=89
Seoul (Incheon)|4900565|p=0.286486|ask=0.1|edge=0.186486|n=88
Madrid|4873183|p=0.272727|ask=0.09|edge=0.182727|n=89
Munich|4873102|p=0.245902|ask=0.07|edge=0.175902|n=89
Lucknow|4873090|p=0.229947|ask=0.06|edge=0.169947|n=89
Tokyo|4900105|p=0.372973|ask=0.2|edge=0.172973|n=88
Karachi|4900335|p=0.572193|ask=0.4|edge=0.172193|n=89
Ankara|4873067|p=0.251337|ask=0.09|edge=0.161337|n=89
Tokyo|4900628|p=0.204969|ask=0.05|edge=0.154969|n=88
Lucknow|4900073|p=0.448649|ask=0.29|edge=0.158649|n=89
Tokyo|4900627|p=0.167702|ask=0.02|edge=0.147702|n=88
Shanghai|4900127|p=0.502703|ask=0.35|edge=0.152703|n=88
Paris|4872592|p=0.284916|ask=0.14|edge=0.144916|n=89
Seoul (Incheon)|4873054|p=0.232432|ask=0.09|edge=0.142432|n=88
London|4900541|p=0.219251|ask=0.08|edge=0.139251|n=89
Warsaw|4900704|p=0.224044|ask=0.09|edge=0.134044|n=89
Tokyo|4900629|p=0.31677|ask=0.18|edge=0.13677|n=88
Lucknow|4873089|p=0.283422|ask=0.15|edge=0.133422|n=89
Seoul (Incheon)|4900566|p=0.156757|ask=0.03|edge=0.126757|n=88
Shanghai|4900653|p=0.145946|ask=0.02|edge=0.125946|n=88
Ankara|4900575|p=0.275676|ask=0.15|edge=0.125676|n=89
Shanghai|4900651|p=0.232432|ask=0.11|edge=0.122432|n=88
London|4873028|p=0.138889|ask=0.024|edge=0.114889|n=89
Karachi|4873381|p=0.176471|ask=0.06|edge=0.116471|n=89
Lucknow|4900600|p=0.122995|ask=0.01|edge=0.112995|n=89
Paris|4900025|p=0.254054|ask=0.14|edge=0.114054|n=89
Tokyo|4900106|p=0.243243|ask=0.13|edge=0.113243|n=88
Guangzhou|4873364|p=0.127072|ask=0.02|edge=0.107072|n=89
Tokyo|4872668|p=0.136612|ask=0.03|edge=0.106612|n=88
Shanghai|4872691|p=0.113514|ask=0.009|edge=0.104514|n=88
Milan|4873171|p=0.308108|ask=0.2|edge=0.108108|n=88
Tokyo|4873120|p=0.173184|ask=0.07|edge=0.103184|n=88
Singapore|4873159|p=0.254438|ask=0.15|edge=0.104438|n=88
Kuala Lumpur|4900834|p=0.232432|ask=0.13|edge=0.102432|n=88
Lucknow|4900598|p=0.251337|ask=0.15|edge=0.101337|n=89
Helsinki|4873318|p=0.144385|ask=0.05|edge=0.094385|n=89
