trade_id,opened_at,market_id,event_key,city,station,market_date,market_type,bucket_type,bucket_value,bucket_low,bucket_high,entry_price,shares,stake,model_probability,gross_edge,net_ev_per_share,fee_rate,fee_per_share,signal,status,resolved_at,result,payout,pnl,roi,resolution_source,resolution_note
paper-000001,2026-09-11T16:03:48.658698+00:00,4399261,madrid|2026_09_11|lowest_temperature|c|lemd,Madrid,LEMD,2026-09-11,lowest_temperature,or_lower,11.0,,11.0,0.009,1111.111111111111,10.0,0.600322,0.591322,0.590877,0.05,0.00044595,PAPER_BUY,OPEN,,,,,,,
paper-000002,2026-09-11T16:03:48.662406+00:00,4400023,munich|2026_09_11|highest_temperature|c|eddm,Munich,EDDM,2026-09-11,highest_temperature,or_higher,21.0,21.0,,0.01,1000.0,10.0,0.589362,0.579362,0.578867,0.05,0.000495,PAPER_BUY,OPEN,,,,,,,
paper-000003,2026-09-11T16:03:48.665087+00:00,4400238,helsinki|2026_09_11|highest_temperature|c|efhk,Helsinki,EFHK,2026-09-11,highest_temperature,exact,18.0,18.0,18.0,0.003,3333.3333333333335,10.0,0.357257,0.354257,0.354107,0.05,0.00014955,PAPER_BUY,CLOSED,2026-09-11T21:57:29.006267+00:00,LOSS,0.0,-10.0,-1.0,Polymarket Gamma market endpoint,no_resolved
paper-000004,2026-09-11T16:03:48.656918+00:00,4399131,paris|2026_09_11|lowest_temperature|c|lfpb,Paris,LFPB,2026-09-11,lowest_temperature,exact,12.0,12.0,12.0,0.04,250.0,10.0,0.341917,0.301917,0.299997,0.05,0.00192,PAPER_BUY,OPEN,,,,,,,
paper-000005,2026-09-11T16:03:48.663476+00:00,4400095,milan|2026_09_11|highest_temperature|c|limc,Milan,LIMC,2026-09-11,highest_temperature,exact,26.0,26.0,26.0,0.03,333.33333333333337,10.0,0.293328,0.263328,0.261873,0.05,0.001455,PAPER_BUY,OPEN,,,,,,,
paper-000006,2026-09-11T16:03:48.660730+00:00,4399442,guangzhou|2026_09_11|lowest_temperature|c|zggg,Guangzhou,ZGGG,2026-09-11,lowest_temperature,exact,24.0,24.0,24.0,0.02,500.0,10.0,0.279672,0.259672,0.258692,0.05,0.00098,PAPER_BUY,CLOSED,2026-09-11T16:58:04.718149+00:00,LOSS,0.0,-10.0,-1.0,Polymarket Gamma market endpoint,no_resolved
paper-000007,2026-09-11T16:03:48.693344+00:00,4461913,helsinki|2026_09_13|highest_temperature|c|efhk,Helsinki,EFHK,2026-09-13,highest_temperature,exact,18.0,18.0,18.0,0.07,142.85714285714283,10.0,0.286441,0.216441,0.213186,0.05,0.003255,PAPER_BUY,OPEN,,,,,,,
paper-000008,2026-09-11T16:03:48.675766+00:00,4431221,ankara|2026_09_12|highest_temperature|c|ltac,Ankara,LTAC,2026-09-12,highest_temperature,exact,33.0,33.0,33.0,0.02,500.0,10.0,0.234104,0.214104,0.213124,0.05,0.00098,PAPER_BUY,OPEN,,,,,,,
paper-000009,2026-09-11T16:03:48.657957+00:00,4399231,shanghai|2026_09_11|lowest_temperature|c|zspd,Shanghai,ZSPD,2026-09-11,lowest_temperature,exact,22.0,22.0,22.0,0.009,1111.111111111111,10.0,0.221753,0.212753,0.212307,0.05,0.00044595,PAPER_BUY,CLOSED,2026-09-11T16:58:05.020014+00:00,LOSS,0.0,-10.0,-1.0,Polymarket Gamma market endpoint,no_resolved
paper-000010,2026-09-11T16:03:48.675197+00:00,4431195,paris|2026_09_12|highest_temperature|c|lfpb,Paris,LFPB,2026-09-12,highest_temperature,exact,24.0,24.0,24.0,0.11,90.9090909090909,10.0,0.321911,0.211911,0.207016,0.05,0.004895,PAPER_BUY,OPEN,,,,,,,
