run_at,city,station,market_date,market_type,unit,market_id,event_key,bucket_type,bucket_value,bucket_low,bucket_high,group_title,model_probability,market_probability,entry_price,fee_rate,fee_per_share,gross_edge,net_ev_per_share,net_return_if_win,forecast_count,forecast_mean_c,forecast_min_c,forecast_max_c,forecast_std_c,observation_temperature_c,observation_time,signal,reason
2026-09-10T21:49:08.059406+00:00,Los Angeles,KLAX,2026-09-10,highest_temperature,F,4362179,los_angeles|2026_09_10|highest_temperature|f|klax,or_higher,94.0,94.0,,94°F or higher,0.816071,0.007,0.01,0.05,0.000495,0.806071,0.805576,98.9505,3,35.2,34.5,36.6,1.2124,31.1,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.8161; entry=0.0100; gross_edge=0.8061; fee=0.00049; net_ev=0.8056; entry_source=ask; fee_source=market
2026-09-10T21:49:08.058481+00:00,Austin,KAUS,2026-09-10,highest_temperature,F,4359159,austin|2026_09_10|highest_temperature|f|kaus,range,,96.0,97.0,96-97°F,0.482464,0.0005,0.001,0.05,4.995e-05,0.481464,0.481414,998.95005,3,35.9,35.5,36.7,0.6928,37.2,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.4825; entry=0.0010; gross_edge=0.4815; fee=0.00005; net_ev=0.4814; entry_source=ask; fee_source=market
2026-09-10T21:49:08.071835+00:00,Los Angeles,KLAX,2026-09-11,highest_temperature,F,4404589,los_angeles|2026_09_11|highest_temperature|f|klax,or_higher,90.0,90.0,,90°F or higher,0.516686,0.022,0.037,0.05,0.00178155,0.479686,0.477904,25.978877,3,31.8333,30.5,34.5,2.3094,31.1,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.5167; entry=0.0370; gross_edge=0.4797; fee=0.00178; net_ev=0.4779; entry_source=ask; fee_source=market
2026-09-10T21:49:08.057465+00:00,Miami,KMIA,2026-09-10,lowest_temperature,F,4358888,miami|2026_09_10|lowest_temperature|f|kmia,range,,78.0,79.0,78-79°F,0.463931,0.0005,0.001,0.05,4.995e-05,0.462931,0.462881,998.95005,3,25.4667,25.2,26.0,0.4619,29.4,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.4639; entry=0.0010; gross_edge=0.4629; fee=0.00005; net_ev=0.4629; entry_source=ask; fee_source=market
2026-09-10T21:49:08.058640+00:00,Houston,KHOU,2026-09-10,highest_temperature,F,4359172,houston|2026_09_10|highest_temperature|f|khou,range,,90.0,91.0,90-91°F,0.479085,0.015,0.02,0.05,0.00098,0.459085,0.458105,48.951,3,32.3333,31.4,32.8,0.8083,30.6,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.4791; entry=0.0200; gross_edge=0.4591; fee=0.00098; net_ev=0.4581; entry_source=ask; fee_source=market
2026-09-10T21:49:08.057764+00:00,Austin,KAUS,2026-09-10,lowest_temperature,F,4358911,austin|2026_09_10|lowest_temperature|f|kaus,range,,76.0,77.0,76-77°F,0.455193,0.0005,0.001,0.05,4.995e-05,0.454193,0.454143,998.95005,3,25.1667,24.7,25.4,0.4041,37.2,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.4552; entry=0.0010; gross_edge=0.4542; fee=0.00005; net_ev=0.4541; entry_source=ask; fee_source=market
2026-09-10T21:49:08.056508+00:00,New York City,KLGA,2026-09-10,highest_temperature,F,4358653,new_york_city|2026_09_10|highest_temperature|f|klga,range,,88.0,89.0,88-89°F,0.476667,0.02,0.03,0.05,0.001455,0.446667,0.445212,32.284833,3,31.6,31.4,31.7,0.1732,30.0,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.4767; entry=0.0300; gross_edge=0.4467; fee=0.00145; net_ev=0.4452; entry_source=ask; fee_source=market
2026-09-10T21:49:08.056620+00:00,Dallas,KDAL,2026-09-10,highest_temperature,F,4358661,dallas|2026_09_10|highest_temperature|f|kdal,range,,96.0,97.0,96-97°F,0.443421,0.0005,0.001,0.05,4.995e-05,0.442421,0.442371,998.95005,3,36.3667,36.3,36.5,0.1155,36.7,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.4434; entry=0.0010; gross_edge=0.4424; fee=0.00005; net_ev=0.4424; entry_source=ask; fee_source=market
2026-09-10T21:49:08.057777+00:00,Austin,KAUS,2026-09-10,lowest_temperature,F,4358912,austin|2026_09_10|lowest_temperature|f|kaus,range,,78.0,79.0,78-79°F,0.422534,0.0005,0.001,0.05,4.995e-05,0.421534,0.421484,998.95005,3,25.1667,24.7,25.4,0.4041,37.2,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.4225; entry=0.0010; gross_edge=0.4215; fee=0.00005; net_ev=0.4215; entry_source=ask; fee_source=market
2026-09-10T21:49:08.057023+00:00,New York City,KLGA,2026-09-10,lowest_temperature,F,4358854,new_york_city|2026_09_10|lowest_temperature|f|klga,range,,70.0,71.0,70-71°F,0.436868,0.01,0.02,0.05,0.00098,0.416868,0.415888,48.951,3,21.9667,21.5,22.2,0.4041,30.0,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.4369; entry=0.0200; gross_edge=0.4169; fee=0.00098; net_ev=0.4159; entry_source=ask; fee_source=market
2026-09-10T21:49:08.056762+00:00,Atlanta,KATL,2026-09-10,highest_temperature,F,4358672,atlanta|2026_09_10|highest_temperature|f|katl,range,,88.0,89.0,88-89°F,0.408774,0.0005,0.001,0.05,4.995e-05,0.407774,0.407724,998.95005,3,32.1333,31.8,32.3,0.2887,32.2,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.4088; entry=0.0010; gross_edge=0.4078; fee=0.00005; net_ev=0.4077; entry_source=ask; fee_source=market
2026-09-10T21:49:08.057454+00:00,Miami,KMIA,2026-09-10,lowest_temperature,F,4358887,miami|2026_09_10|lowest_temperature|f|kmia,range,,76.0,77.0,76-77°F,0.408774,0.0005,0.001,0.05,4.995e-05,0.407774,0.407724,998.95005,3,25.4667,25.2,26.0,0.4619,29.4,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.4088; entry=0.0010; gross_edge=0.4078; fee=0.00005; net_ev=0.4077; entry_source=ask; fee_source=market
2026-09-10T21:49:08.069217+00:00,New York City,KLGA,2026-09-11,lowest_temperature,F,4401740,new_york_city|2026_09_11|lowest_temperature|f|klga,range,,66.0,67.0,66-67°F,0.438546,0.04,0.05,0.05,0.002375,0.388546,0.386171,18.9525,3,19.7333,19.3,20.6,0.7506,30.0,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.4385; entry=0.0500; gross_edge=0.3885; fee=0.00238; net_ev=0.3862; entry_source=ask; fee_source=market
2026-09-10T21:49:08.082234+00:00,New York City,KLGA,2026-09-12,lowest_temperature,F,4433892,new_york_city|2026_09_12|lowest_temperature|f|klga,range,,60.0,61.0,60-61°F,0.42146,0.02,0.04,0.05,0.00192,0.38146,0.37954,23.952,3,16.2667,15.6,17.6,1.1547,30.0,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.4215; entry=0.0400; gross_edge=0.3815; fee=0.00192; net_ev=0.3795; entry_source=ask; fee_source=market
2026-09-10T21:49:08.056519+00:00,New York City,KLGA,2026-09-10,highest_temperature,F,4358654,new_york_city|2026_09_10|highest_temperature|f|klga,range,,90.0,91.0,90-91°F,0.378403,0.0005,0.001,0.05,4.995e-05,0.377403,0.377353,998.95005,3,31.6,31.4,31.7,0.1732,30.0,2026-09-10T21:00:00.000Z,PAPER_BUY,model_probability=0.3784; entry=0.0010; gross_edge=0.3774; fee=0.00005; net_ev=0.3774; entry_source=ask; fee_source=market
