trade_id,engine_version,opened_at,market_id,event_key,city,station,market_date,market_type,bucket_type,bucket_value,bucket_low,bucket_high,entry_price,execution_price,shares,stake,model_probability,raw_model_probability,gross_edge,net_ev_per_share,fee_per_share,slippage_per_share,signal,status,resolved_at,result,payout,pnl,roi,resolution_source,resolution_note
paper18-000001,1.8,2026-09-21T06:22:28.457070+00:00,4717984,munich|2026_09_21|highest_temperature|c|eddm,Munich,EDDM,2026-09-21,highest_temperature,exact,19.0,19.0,19.0,0.02,0.025,400.0,10.0,0.21547,0.21547,0.19547,0.19449,0.00098,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000002,1.8,2026-09-21T06:22:28.398462+00:00,4717386,london|2026_09_21|lowest_temperature|c|eglc,London,EGLC,2026-09-21,lowest_temperature,exact,10.0,10.0,10.0,0.03,0.034999999999999996,285.7142857142857,10.0,0.219251,0.219251,0.189251,0.187796,0.001455,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000003,1.8,2026-09-21T06:22:28.557704+00:00,4746183,tokyo|2026_09_22|highest_temperature|c|rjtt,Tokyo,RJTT,2026-09-22,highest_temperature,or_lower,25.0,,25.0,0.02,0.025,400.0,10.0,0.207865,0.207865,0.187865,0.186885,0.00098,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000004,1.8,2026-09-21T06:22:28.564619+00:00,4746239,milan|2026_09_22|highest_temperature|c|limc,Milan,LIMC,2026-09-22,highest_temperature,exact,23.0,23.0,23.0,0.02,0.025,400.0,10.0,0.202186,0.202186,0.182186,0.181206,0.00098,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000005,1.8,2026-09-21T06:22:28.485516+00:00,4718267,karachi|2026_09_21|highest_temperature|c|opkc,Karachi,OPKC,2026-09-21,highest_temperature,exact,39.0,39.0,39.0,0.27,0.275,36.36363636363636,10.0,0.454545,0.454545,0.184545,0.17469,0.009855,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000006,1.8,2026-09-21T06:22:28.448445+00:00,4717940,seoul_incheon|2026_09_21|highest_temperature|c|rksi,Seoul (Incheon),RKSI,2026-09-21,highest_temperature,exact,28.0,28.0,28.0,0.07,0.07500000000000001,133.33333333333331,10.0,0.243243,0.243243,0.173243,0.169988,0.003255,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000007,1.8,2026-09-21T06:22:28.582213+00:00,4746427,guangzhou|2026_09_22|highest_temperature|c|zggg,Guangzhou,ZGGG,2026-09-22,highest_temperature,exact,32.0,32.0,32.0,0.06,0.065,153.84615384615384,10.0,0.232432,0.232432,0.172432,0.169612,0.00282,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000008,1.8,2026-09-21T06:22:28.675955+00:00,4782368,helsinki|2026_09_23|highest_temperature|c|efhk,Helsinki,EFHK,2026-09-23,highest_temperature,exact,15.0,15.0,15.0,0.17,0.17500000000000002,57.14285714285714,10.0,0.345455,0.345455,0.175455,0.1684,0.007055,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000009,1.8,2026-09-21T06:22:28.483708+00:00,4718250,guangzhou|2026_09_21|highest_temperature|c|zggg,Guangzhou,ZGGG,2026-09-21,highest_temperature,or_higher,37.0,37.0,,0.09,0.095,105.26315789473684,10.0,0.261111,0.261111,0.171111,0.167016,0.004095,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000010,1.8,2026-09-21T06:22:28.626420+00:00,4781780,beijing|2026_09_23|lowest_temperature|c|zbaa,Beijing,ZBAA,2026-09-23,lowest_temperature,exact,20.0,20.0,20.0,0.08,0.085,117.6470588235294,10.0,0.240642,0.240642,0.160642,0.156962,0.00368,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000011,1.8,2026-09-21T06:22:28.577618+00:00,4746386,helsinki|2026_09_22|highest_temperature|c|efhk,Helsinki,EFHK,2026-09-22,highest_temperature,exact,17.0,17.0,17.0,0.03,0.034999999999999996,285.7142857142857,10.0,0.187166,0.187166,0.157166,0.155711,0.001455,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000012,1.8,2026-09-21T06:22:28.450445+00:00,4717950,ankara|2026_09_21|highest_temperature|c|ltac,Ankara,LTAC,2026-09-21,highest_temperature,exact,25.0,25.0,25.0,0.22,0.225,44.44444444444444,10.0,0.372973,0.372973,0.152973,0.144393,0.00858,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000013,1.8,2026-09-21T06:22:28.540448+00:00,4745479,karachi|2026_09_22|lowest_temperature|c|opkc,Karachi,OPKC,2026-09-22,lowest_temperature,exact,27.0,27.0,27.0,0.5,0.505,19.801980198019802,10.0,0.654054,0.654054,0.154054,0.141554,0.0125,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000014,1.8,2026-09-21T06:22:28.549496+00:00,4746131,ankara|2026_09_22|highest_temperature|c|ltac,Ankara,LTAC,2026-09-22,highest_temperature,exact,23.0,23.0,23.0,0.16,0.165,60.6060606060606,10.0,0.308108,0.308108,0.148108,0.141388,0.00672,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000015,1.8,2026-09-21T06:22:28.555995+00:00,4746164,munich|2026_09_22|highest_temperature|c|eddm,Munich,EDDM,2026-09-22,highest_temperature,exact,16.0,16.0,16.0,0.18,0.185,54.054054054054056,10.0,0.325967,0.325967,0.145967,0.138587,0.00738,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000016,1.8,2026-09-21T06:22:28.465734+00:00,4718052,milan|2026_09_21|highest_temperature|c|limc,Milan,LIMC,2026-09-21,highest_temperature,exact,28.0,28.0,28.0,0.19,0.195,51.28205128205128,10.0,0.333333,0.333333,0.143333,0.135638,0.007695,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000017,1.8,2026-09-21T06:22:28.547931+00:00,4746124,seoul_incheon|2026_09_22|highest_temperature|c|rksi,Seoul (Incheon),RKSI,2026-09-22,highest_temperature,exact,29.0,29.0,29.0,0.1,0.10500000000000001,95.23809523809523,10.0,0.234973,0.234973,0.134973,0.130473,0.0045,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000018,1.8,2026-09-21T06:22:28.659131+00:00,4782194,shanghai|2026_09_23|highest_temperature|c|zspd,Shanghai,ZSPD,2026-09-23,highest_temperature,exact,30.0,30.0,30.0,0.05,0.055,181.8181818181818,10.0,0.180328,0.180328,0.130328,0.127953,0.002375,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000019,1.8,2026-09-21T06:22:28.469462+00:00,4718078,warsaw|2026_09_21|highest_temperature|c|epwa,Warsaw,EPWA,2026-09-21,highest_temperature,exact,13.0,13.0,13.0,0.03,0.034999999999999996,285.7142857142857,10.0,0.15508,0.15508,0.12508,0.123625,0.001455,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000020,1.8,2026-09-21T06:22:28.648681+00:00,4782118,ankara|2026_09_23|highest_temperature|c|ltac,Ankara,LTAC,2026-09-23,highest_temperature,exact,21.0,21.0,21.0,0.2,0.20500000000000002,48.78048780487804,10.0,0.318436,0.318436,0.118436,0.110436,0.008,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000021,1.8,2026-09-21T06:22:28.639024+00:00,4781931,karachi|2026_09_23|lowest_temperature|c|opkc,Karachi,OPKC,2026-09-23,lowest_temperature,exact,26.0,26.0,26.0,0.39,0.395,25.31645569620253,10.0,0.508021,0.508021,0.118021,0.106126,0.011895,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000022,1.8,2026-09-21T06:22:28.643772+00:00,4782091,paris|2026_09_23|highest_temperature|c|lfpb,Paris,LFPB,2026-09-23,highest_temperature,exact,24.0,24.0,24.0,0.23,0.23500000000000001,42.5531914893617,10.0,0.340541,0.340541,0.110541,0.101686,0.008855,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000023,1.8,2026-09-21T06:22:28.661247+00:00,4782205,singapore|2026_09_23|highest_temperature|c|wsss,Singapore,WSSS,2026-09-23,highest_temperature,exact,34.0,34.0,34.0,0.22,0.225,44.44444444444444,10.0,0.286486,0.286486,0.066486,0.057906,0.00858,0.005,PAPER_BUY_V18,OPEN,,,,,,,
paper18-000024,1.8,2026-09-21T13:11:11.049544+00:00,4782213,milan|2026_09_23|highest_temperature|c|limc,Milan,LIMC,2026-09-23,highest_temperature,exact,22.0,22.0,22.0,0.09,0.095,105.26315789473684,10.0,0.289617,0.289617,0.199617,0.195522,0.004095,0.005,PAPER_BUY_V18,OPEN,,,,,,,
